node1_uniprot_id,node2_uniprot_id
Q9NQB0,P04637
Q9NQB0,O14746
O14746,P01137
P01137,P04637
C9JLR9,
C9JLR9,Q9HCM3
,Q9HCM3
P42771,P48735
P42771,P21359
P42771,O75874
P00533,P48735
P00533,O75874
P00533,P21359
O75874,O14746
O75874,P21359
P48735,O14746
P48735,P21359
P21359,P04637
P21359,O14746
Q9P212,Q13131
Q04771,P84243
Q04771,P68431
Q04771,
Q04771,P46100
Q04771,P15056
P31749,P34810
P31749,P84243
P31749,P42772
P31749,Q15465
P31749,P16455
P31749,Q13516
P31749,P48735
P31749,P35240
P31749,P68431
P31749,P60484
P31749,P46100
P31749,Q04206
P31749,O75874
P31749,O43490
P31749,P46937
P46100,P84243
P46100,P00533
P46100,P42772
P46100,P16455
P46100,O14746
P46100,Q13516
P46100,P68431
P46100,Q96AE4
P46100,P60484
P46100,Q9HCM3
P46100,P42771
P46100,P15056
Q8NDZ0,Q10571
P15056,P34810
P15056,P84243
P15056,P42772
P15056,P16455
P15056,P48735
P15056,P35240
P15056,P68431
P15056,
P15056,P60484
P15056,P17252
P15056,O43490
P15056,P46937
C9JLR9,Q10571
P34810,P00533
P34810,Q13516
P34810,P04637
P42771,P84243
P42771,P42772
P42771,P16455
P42771,P35240
P42771,P68431
P42771,
P42771,Q96AE4
P42771,P60484
P42771,Q04206
P42771,Q9HCM3
P42771,O43490
P42771,P46937
P42772,P84243
P42772,P04637
P42772,P00533
P42772,P48735
P42772,P68431
P42772,P35240
P42772,O75874
P42772,P16455
P42772,P60484
P42772,O14746
P00533,P84243
P00533,Q96AE4
P00533,Q13516
P00533,P68431
P00533,
P00533,Q04206
P00533,Q15465
P00533,O43490
P00533,P16455
P00533,P35240
P00533,P46937
P00533,P17252
P00533,P60484
Q86X51,P84243
Q86X51,
Q86X51,P68431
Q96AE4,P04637
Q96AE4,O14746
Q96AE4,P48735
Q96AE4,
Q96AE4,P60484
Q96AE4,O75874
,P84243
,P16455
,O14746
,P68431
,P60484
,
P84243,Q9HCM3
P84243,P46937
P84243,Q13516
P84243,Q15465
P84243,P16455
P84243,P48735
P84243,P60484
P84243,O14746
P84243,O75874
P84243,Q04206
P84243,
P84243,P04637
P84243,P68431
P68431,P04637
P68431,Q15465
P68431,P16455
P68431,O14746
P68431,Q13516
P68431,P48735
P68431,P46937
P68431,O75874
P68431,P60484
P68431,Q04206
P68431,
O75874,P16455
O75874,Q13516
O75874,P60484
O75874,O43490
P48735,P16455
P48735,Q9HCM3
P48735,P60484
Q9HCM3,O14746
Q9HCM3,Q13516
P16455,P04637
P16455,Q15465
P16455,Q13516
P16455,P17252
P16455,O43490
P16455,P60484
P16455,O14746
P35240,O14746
P35240,P60484
Q13516,P04637
Q13516,Q15465
Q13516,P60484
Q13516,O43490
P17252,P04637
P17252,O14746
P17252,P60484
O43490,P04637
O43490,Q15465
O43490,O14746
O43490,P60484
P60484,P04637
P60484,Q15465
P60484,O14746
P60484,Q04206
P60484,P46937
Q04206,P04637
Q04206,O14746
P04637,P46937
Q9UHK6,Q06710
Q9UHK6,P04637
Q9UHK6,Q92733
Q9UHK6,P19532
Q9UHK6,P08729
Q9UHK6,P07954
Q9UHK6,Q16790
Q9UHK6,P19544
Q9UHK6,Q9P2W7
Q5JTC6,P04637
Q5JTC6,P01344
Q5JTC6,P78424
Q5JTC6,P19544
Q5JTC6,P35222
Q9P2W7,P60568
Q9P2W7,P28906
Q9P2W7,P08729
Q9P2W7,Q15116
Q9P2W7,Q9NZQ7
Q9P2W7,P01732
Q9P2W7,P16410
O75531,P04637
O75531,Q12824
O75531,P51532
O75531,P51531
O75531,Q86U86
O75531,P35222
Q16790,P60568
Q16790,P40337
Q16790,Q06710
Q16790,Q99814
Q16790,P04637
Q16790,P19532
Q16790,P08581
Q16790,P08729
Q16790,P01732
Q16790,Q9NZQ7
Q16790,P35222
Q16790,Q16665
Q8WWL7,B1AL46
Q8WWL7,A6NNL0
Q9NZQ7,P60568
Q9NZQ7,Q99814
Q9NZQ7,Q86YL7
Q9NZQ7,P28906
Q9NZQ7,P08581
Q9NZQ7,Q15116
Q9NZQ7,P42345
Q9NZQ7,P19544
Q9NZQ7,Q86U86
Q9NZQ7,P35222
Q9NZQ7,Q16665
Q9NZQ7,P01732
P28906,P60568
P28906,Q06710
P28906,Q99814
P28906,Q86YL7
P28906,P01344
P28906,P42345
P28906,P16410
P28906,P08581
P28906,P41212
P28906,Q16665
P28906,P35222
P28906,P19544
P28906,P08729
P28906,P01732
P01732,P60568
P01732,Q86YL7
P01732,P08581
P01732,Q15116
P01732,P42345
P01732,P08631
P01732,P19544
P01732,Q16665
P01732,P16410
P16410,P60568
P16410,P08581
P16410,Q15116
P16410,P42345
P16410,Q16665
P16410,P35222
P35222,P60568
P35222,P40337
P35222,Q06710
P35222,Q99814
P35222,P08581
P35222,P08729
P35222,Q15116
P35222,Q12824
P35222,P51532
P35222,Q16288
P35222,P42345
P35222,P19544
P35222,P49789
P35222,Q9NRR4
P35222,Q16665
Q6PD62,P51532
Q6PD62,Q9BYW2
Q8WYQ5,Q5VYS8
Q8WYQ5,Q16665
Q8WYQ5,P04637
Q8WYQ5,Q9NRR4
Q9NRR4,Q99814
Q9NRR4,P04637
Q9NRR4,P42345
Q9NRR4,Q5VYS8
Q9NRR4,Q16665
Q99814,P40337
Q99814,Q86U86
Q99814,P08581
Q99814,P42345
Q99814,P04637
Q99814,P07954
Q99814,Q16665
P41212,P04637
P41212,Q16288
P41212,P19544
P41212,Q9BYW2
P07954,P40337
P07954,P04637
P07954,Q8NFG4
P07954,P19532
P07954,Q16665
P49789,P04637
Q8NFG4,Q86U86
Q8NFG4,P19532
Q8NFG4,P42345
P08631,P04637
P08631,P08581
Q16665,P60568
Q16665,P40337
Q16665,P04637
Q16665,P19532
Q16665,P08581
Q16665,Q15116
Q16665,P51532
Q16665,P42345
Q16665,P19544
Q16665,P01344
P01344,P08581
P01344,P42345
P01344,P19544
P60568,P19544
P60568,P42345
P60568,P04637
P60568,Q15116
P08729,O75631
P08729,Q06710
P08729,Q92733
P08729,P19532
P08729,P08581
P08729,P19544
P08581,P04637
P08581,Q92733
P08581,P19532
P08581,Q15116
P08581,P42345
P42345,P40337
P42345,P04637
P42345,P19532
P42345,Q15116
P42345,Q16288
P42345,Q86U86
P42345,Q9BYW2
Q16288,P04637
Q06710,Q12824
Q06710,P19532
Q06710,P04637
Q06710,P19544
Q86U86,P40337
Q86U86,P04637
Q86U86,Q12824
Q86U86,P51532
Q86U86,P51531
Q86U86,Q9BYW2
Q15116,P04637
Q86YL7,P19544
P78424,Q13127
P78424,P19544
Q13127,P04637
Q13127,P51532
P0DJI8,P0DJI9
Q9BYW2,P04637
Q9BYW2,Q12824
Q9BYW2,P51532
Q9BYW2,P19544
Q9BYW2,P51531
P51531,P40337
P51531,P04637
P51531,Q12824
P51531,P51532
P51532,P40337
P51532,P04637
P51532,Q12824
P51532,P19544
Q12824,P19532
Q12824,P19544
P19532,P04637
P04637,P40337
P04637,P19544
P31749,P15173
P31749,P01133
P31749,Q13315
P31749,Q15831
P31749,P06401
P31749,Q15303
P31749,Q14790
P31749,P55072
P31749,Q9UQC2
P31749,O96017
